,city,lat,lng,max temp,humidity,cloudiness,wind speed,country,date
128,port elizabeth,-33.918,25.5701,293.31,68,0,6.69,ZA,1629136242
129,hay river,60.8156,-115.7999,286.14,76,75,6.69,CA,1629136178
130,hobyo,5.3505,48.5268,298.41,77,93,12.93,SO,1629136281
131,tirumullaivasal,11.2333,79.8333,301.62,72,99,5.12,IN,1629136282
132,salalah,17.0151,54.0924,298.04,89,92,1.65,OM,1629136282
133,kahului,20.8947,-156.47,295.75,75,1,1.54,US,1629136282
134,talnakh,69.4865,88.3972,282.82,94,100,2.95,RU,1629136283
135,yokosuka,35.2836,139.6672,295.36,91,100,4.48,JP,1629136283
136,plettenberg bay,-34.0527,23.3716,291.85,66,87,2.29,ZA,1629136283
137,teya,60.3778,92.6267,285.86,97,65,1.37,RU,1629136284
138,lamar,33.6668,-95.5836,305.11,67,75,4.63,US,1629136284
139,bambous virieux,-20.3428,57.7575,294.38,64,40,4.63,MU,1629136284
140,tessalit,20.1986,1.0114,304.8,40,92,9.22,ML,1629136285
141,yarmouth,41.7057,-70.2286,299.34,62,75,2.24,US,1629136286
142,kavieng,-2.5744,150.7967,300.57,76,99,3.9,PG,1629136286
143,avera,33.194,-82.5271,299.88,87,100,2.46,US,1629136286
144,saint george,37.1041,-113.5841,309.61,24,0,1.79,US,1629136287
145,itacurubi del rosario,-24.5,-56.6833,306.65,24,0,2.39,PY,1629136287
146,boende,-0.2167,20.8667,300.51,56,87,1.25,CD,1629136287
147,kalmunai,7.4167,81.8167,300.32,78,100,2.94,LK,1629136288
148,busselton,-33.65,115.3333,288.73,71,0,3.43,AU,1629136288
149,gawler,-34.6,138.7333,284.06,97,46,0.51,AU,1629136072
150,port-cartier,50.0334,-66.8654,294.27,53,100,4.67,CA,1629136289
151,cabo san lucas,22.8909,-109.9124,308.49,67,76,2.64,MX,1629135995
152,aljezur,37.3191,-8.8033,296.42,58,1,6.59,PT,1629136289
153,santa vitoria do palmar,-33.5189,-53.3681,290.86,68,3,2.18,BR,1629136290
154,duzce,40.8389,31.1639,293.86,79,0,0.46,TR,1629136291
155,tilichiki,60.4667,166.1,283.8,96,100,2.53,RU,1629136291
156,palana,59.1167,159.9667,283.33,92,93,9.55,RU,1629136291
157,port-gentil,-0.7193,8.7815,299.13,83,40,6.17,GA,1629136292
158,springdale,36.1867,-94.1288,303.47,57,40,0.0,US,1629136079
159,vestmannaeyjar,63.4427,-20.2734,285.7,87,90,8.23,IS,1629136292
160,naze,28.3667,129.4833,298.57,85,100,4.73,JP,1629136292
161,castro,-24.7911,-50.0119,296.32,52,35,3.12,BR,1629136293
162,port hardy,50.6996,-127.4199,287.25,82,75,3.09,CA,1629136293
163,xining,36.6167,101.7667,288.42,77,17,0.35,CN,1629136294
164,eyl,7.9803,49.8164,298.59,77,21,12.03,SO,1629136294
165,bathsheba,13.2167,-59.5167,304.49,62,20,9.26,BB,1629136295
166,shenjiamen,29.9576,122.298,298.55,90,100,2.81,CN,1629136295
167,trogir,43.5125,16.2517,305.18,33,0,2.57,HR,1629136295
168,torbay,47.6666,-52.7314,298.98,59,20,8.23,CA,1629136296
169,klaksvik,62.2266,-6.589,284.66,97,97,5.86,FO,1629136296
170,velizh,55.6056,31.1967,290.88,96,96,3.05,RU,1629136296
171,beirut,33.8889,35.4944,302.56,58,0,2.06,LB,1629136229
172,huarmey,-10.0681,-78.1522,293.58,69,90,5.33,PE,1629136297
173,itoman,26.1247,127.6694,301.16,92,75,4.63,JP,1629136297
174,alekseyevka,50.6309,38.6903,296.99,39,2,1.14,RU,1629136298
175,sarandi,-23.4436,-51.8739,305.9,27,0,3.09,BR,1629136298
176,tifton,31.4505,-83.5085,301.05,91,90,1.54,US,1629136299
177,laguna,38.421,-121.4238,310.06,57,1,1.54,US,1629136299
178,butaritari,3.0707,172.7902,301.59,75,51,5.59,KI,1629136299
179,saint-philippe,-21.3585,55.7679,292.92,73,71,6.1,RE,1629136300
180,prince george,53.9166,-122.753,288.29,52,1,0.89,CA,1629136254
181,arandis,-22.4167,14.9667,283.41,63,2,1.11,NA,1629136300
182,mar del plata,-38.0023,-57.5575,284.16,87,90,4.12,AR,1629136301
183,marzuq,14.4,46.4667,303.03,44,74,3.83,YE,1629136301
184,tasiilaq,65.6145,-37.6368,280.59,83,97,1.19,GL,1629136301
185,abaete,-19.16,-45.4458,304.85,21,23,2.77,BR,1629136302
186,vostok,46.4856,135.8833,285.93,73,14,1.55,RU,1629136302
187,moose factory,51.2585,-80.6094,303.15,51,1,6.17,CA,1629136303
188,lindi,-10.0,39.7167,296.84,78,48,2.28,TZ,1629136303
189,severo-kurilsk,50.6789,156.125,285.37,94,64,5.77,RU,1629136303
190,bintulu,3.1667,113.0333,298.38,100,40,1.54,MY,1629136304
191,chalchihuites,23.4833,-103.8833,296.09,45,50,1.43,MX,1629136304
192,hasaki,35.7333,140.8333,294.37,91,100,2.43,JP,1629136305
193,denpasar,-8.65,115.2167,298.96,100,40,4.63,ID,1629136112
194,rorvik,64.8621,11.2373,286.14,87,75,2.57,NO,1629136305
195,hit,33.6416,42.8251,307.49,13,0,5.36,IQ,1629136305
196,atuona,-9.8,-139.0333,298.55,79,15,7.1,PF,1629136306
197,corowa,-36.0333,146.3833,281.25,96,6,3.26,AU,1629136306
198,san antonio,29.4241,-98.4936,307.63,62,20,0.0,US,1629136269
199,salinas,36.6777,-121.6555,300.39,77,90,2.57,US,1629135712
200,nome,64.5011,-165.4064,280.19,81,90,3.6,US,1629136307
201,panguna,-6.3164,155.4848,291.81,88,100,0.96,PG,1629136307
202,praxedis guerrero,31.3667,-106.0167,297.27,76,100,5.88,MX,1629136307
203,udachnyy,66.4167,112.4,283.53,83,33,2.16,RU,1629136308
204,takoradi,4.8845,-1.7554,299.04,73,82,5.57,GH,1629136308
205,lompoc,34.6391,-120.4579,298.62,90,20,3.6,US,1629136309
206,lorengau,-2.0226,147.2712,299.97,81,40,3.34,PG,1629136309
207,itanhaem,-24.1831,-46.7889,294.24,81,52,0.83,BR,1629136309
208,pauini,-7.7136,-66.9764,312.23,22,0,1.09,BR,1629136310
209,lasa,46.6166,10.7002,291.27,96,75,3.98,IT,1629136310
210,sisimiut,66.9395,-53.6735,281.76,78,35,3.58,GL,1629136310
211,nchelenge,-9.3451,28.734,296.43,47,3,1.29,ZM,1629136311
212,necochea,-38.5473,-58.7368,288.17,55,100,7.69,AR,1629136311
213,saint-georges,12.0564,-61.7485,303.97,74,20,10.29,GD,1629136312
214,ostrovnoy,68.0531,39.5131,281.21,80,100,3.5,RU,1629136312
215,toamasina,-18.1667,49.3833,292.15,88,75,3.09,MG,1629136312
216,cicero dantas,-10.6,-38.3833,302.12,33,52,6.87,BR,1629136313
217,clovis,36.8252,-119.7029,310.38,43,1,0.45,US,1629136313
218,arraial do cabo,-22.9661,-42.0278,298.13,73,0,8.23,BR,1629136314
219,muros,42.7762,-9.0603,298.84,66,0,7.52,ES,1629136314
220,katsuura,35.1333,140.3,295.21,94,100,3.48,JP,1629136315
221,zhigansk,66.7697,123.3711,281.32,77,5,3.7,RU,1629136315
222,tangkak,2.2673,102.5453,299.08,97,99,0.81,MY,1629136315
223,dallas,32.7668,-96.7836,307.52,58,40,1.34,US,1629135825
224,hithadhoo,-0.6,73.0833,301.18,73,82,3.32,MV,1629136316
225,jumla,29.2747,82.1838,290.1,92,56,0.55,NP,1629136316
226,pringsewu,-5.3582,104.9744,295.64,94,86,0.65,ID,1629136316
227,cockburn town,21.4612,-71.1419,304.13,66,40,7.2,TC,1629136317
228,khatanga,71.9667,102.5,284.56,84,93,7.24,RU,1629136317
229,olinda,-8.0089,-34.8553,298.0,65,40,5.66,BR,1629136317
230,kizukuri,40.8061,140.3861,290.42,95,72,1.93,JP,1629136318
231,faanui,-16.4833,-151.75,299.56,67,54,6.05,PF,1629136318
232,majene,-3.5403,118.9707,298.31,90,71,4.98,ID,1629136318
233,westport,41.1415,-73.3579,301.82,55,1,0.45,US,1629136319
234,mendi,-6.1761,143.6513,286.46,99,100,0.56,PG,1629136319
235,tura,25.5198,90.2201,296.62,98,100,2.33,IN,1629136320
236,greeley,40.4233,-104.7091,307.41,32,1,0.0,US,1629136320
237,oxford,51.7522,-1.256,291.92,61,20,0.45,GB,1629136320
238,bonavista,48.6499,-53.1147,296.15,87,39,6.48,CA,1629136321
239,caravelas,-17.7125,-39.2481,298.38,61,45,3.69,BR,1629136321
240,svetlogorsk,52.6333,29.7333,296.9,51,70,3.0,BY,1629136322
241,high level,58.5169,-117.136,287.21,82,75,7.2,CA,1629136322
242,digby,44.6169,-65.7655,298.68,49,23,1.12,CA,1629136072
243,maumere,-8.6199,122.2111,298.95,72,21,1.87,ID,1629136323
244,kinablangan,7.6947,126.5503,298.81,86,99,1.58,PH,1629136323
245,nhulunbuy,-12.2333,136.7667,296.49,88,23,2.06,AU,1629136324
246,hambantota,6.1241,81.1185,299.28,82,99,7.75,LK,1629136324
247,bosaso,11.2842,49.1816,306.11,45,29,2.26,SO,1629136325
248,rome,34.257,-85.1647,304.53,63,40,0.45,US,1629135994
249,el terrero,14.0667,-87.0667,299.62,47,40,1.54,HN,1629136325
250,thinadhoo,0.5333,72.9333,301.45,73,99,3.77,MV,1629136325
251,touros,-5.1989,-35.4608,304.65,62,31,10.57,BR,1629136326
252,tomado,7.1925,124.6081,296.13,95,98,0.97,PH,1629136326
253,georgetown,5.4112,100.3354,297.12,97,40,1.54,MY,1629136168
254,iqaluit,63.7506,-68.5145,279.0,93,90,5.14,CA,1629136327
255,boa vista,2.8197,-60.6733,305.14,51,75,3.09,BR,1629136327
256,bilibino,68.0546,166.4372,277.1,81,100,2.28,RU,1629136327
257,beringovskiy,63.05,179.3167,281.83,71,49,2.44,RU,1629136328
258,sao jose da coroa grande,-8.8978,-35.1478,298.01,75,80,6.24,BR,1629136328
259,bima,-8.4667,118.7167,296.35,95,26,1.85,ID,1629136328
260,verkhnevilyuysk,63.4453,120.3167,283.81,94,99,1.67,RU,1629136329
261,nouakchott,18.0858,-15.9785,302.11,77,46,4.67,MR,1629136291
262,ulaanbaatar,47.9077,106.8832,294.22,43,40,3.0,MN,1629136048
263,ibotirama,-12.1853,-43.2206,307.59,14,0,1.85,BR,1629136330
264,magan,39.9683,-3.931,311.44,9,0,6.89,ES,1629136330
265,teluk nibung,3.001,99.8164,297.16,90,100,0.58,ID,1629136330
266,san martin,-33.081,-68.4681,292.45,15,1,5.68,AR,1629136331
267,geraldton,-28.7667,114.6,286.38,94,40,3.6,AU,1629136331
268,hargeysa,9.56,44.065,297.48,48,76,10.96,SO,1629136332
269,chifeng,42.2683,118.9636,290.35,94,68,1.85,CN,1629136332
270,cerkezkoy,41.285,28.0003,297.16,68,0,5.66,TR,1629136332
271,maribondo,-9.5772,-36.3053,298.9,68,76,5.03,BR,1629136333
272,deputatskiy,69.3,139.9,274.62,93,23,1.0,RU,1629136333
273,weihai,37.5017,122.1136,295.76,84,83,2.46,CN,1629136334
274,pemba,-12.974,40.5178,297.54,78,20,7.72,MZ,1629136334
275,pacifica,37.6138,-122.4869,303.93,80,20,1.79,US,1629136334
276,nizhniy ingash,56.2,96.53,288.87,68,69,1.41,RU,1629136335
277,viedma,-40.8135,-62.9967,295.52,23,83,10.09,AR,1629136335
278,ondjiva,-17.0667,15.7333,295.81,19,0,1.58,AO,1629136335
279,beloha,-25.1667,45.05,290.79,68,2,7.64,MG,1629136336
280,natalio,-26.7167,-55.0833,303.34,27,1,2.01,PY,1629136336
281,cochrane,51.1834,-114.4687,293.07,63,75,6.17,CA,1629136337
282,ambilobe,-13.2,49.05,295.05,74,35,1.88,MG,1629136337
283,bay roberts,47.5999,-53.2648,299.4,55,2,2.68,CA,1629136338
284,vilhena,-12.7406,-60.1458,305.27,29,0,2.06,BR,1629136338
285,valle hermoso,25.6667,-97.8333,307.07,40,5,2.53,MX,1629136338
286,krasnoselkup,65.7,82.4667,285.83,67,8,4.02,RU,1629136339
287,sumoto,34.35,134.9,298.17,89,100,8.83,JP,1629136339
288,vysokogornyy,50.1167,139.15,285.45,95,3,0.79,RU,1629136339
289,santiago del estero,-27.7951,-64.2615,300.82,18,2,5.87,AR,1629136340
290,tautira,-17.7333,-149.15,299.16,80,25,5.71,PF,1629136340
291,llata,-9.4167,-76.7833,291.35,51,49,4.11,PE,1629136341
292,padang,-0.9492,100.3543,298.23,87,98,2.06,ID,1629136341
293,oliveira dos brejinhos,-12.3169,-42.8961,305.8,15,0,2.75,BR,1629136341
294,nikolskoye,59.7035,30.7861,291.49,75,100,2.17,RU,1629136342
295,xinpu,34.5997,119.1594,295.12,92,0,0.49,CN,1629136342
296,flin flon,54.7682,-101.865,292.06,68,90,3.09,CA,1629136343
297,gizo,-8.103,156.8419,299.37,79,99,0.51,SB,1629136343
